,headline,cities,accented_city,latitude,longitude,countrycode,pop,cluster
543,Rumors about Rotavirus Spreading in Joliet have been Refuted,Joliet,Joliet,41.52519,-88.0834,US,147861.0,0
544,More Zika patients reported in Chanthaburi,Chanthaburi,Chanthaburi,12.60961,102.10446999999999,TH,99819.0,1
545,Lawrenceville is infested with Dengue,Lawrenceville,Lawrenceville,33.95621,-83.98796,US,30493.0,0
546,Zika Reported in Ciudad Acuna,Ciudad Acuna,Ciudad Acuña,29.323220000000003,-100.95217,MX,134233.0,0
547,Zika case reported in Limoeiro,Limoeiro,Limoeiro,-7.87472,-35.45028,BR,42328.0,2
548,Ibadan tests new cure for Malaria,Ibadan,Ibadan,7.377560000000001,3.90591,NG,3565108.0,2
549,Gonorrhea has Arrived in Avon Lake,Avon Lake,Avon Lake,41.505320000000005,-82.0282,US,23453.0,0
550,Pneumonia has not Left Kinshasa,Kinshasa,Kinshasa,-4.32758,15.31357,CD,7785965.0,2
551,Respiratory Syncytial Virus Hits Henderson,Henderson,Henderson,36.0397,-114.98194,US,285667.0,0
552,More Zika patients reported in Lakeland,Lakeland,Lakeland,28.03947,-81.9498,US,104401.0,0
553,Malaria Vaccine is now Required in Winona,Winona,Winona,44.04996,-91.63932,US,27094.0,0
554,More Patients in Canton are Getting Diagnosed with Norovirus,Canton,Canton,42.30865,-83.48216,US,86825.0,0
555,Ronkonkoma is infested with Chickenpox,Ronkonkoma,Ronkonkoma,40.81538,-73.11233,US,19082.0,0
556,Kedougou tests new cure for Hepatitis C,Kedougou,Kédougou,12.55561,-12.180760000000001,SN,17922.0,2
557,Gonorrhea Exposure in Norwalk,Norwalk,Norwalk,33.90224,-118.08173000000001,US,107140.0,0
558,How to Avoid Rhinovirus in Medford,Medford,Medford,42.32652,-122.87558999999999,US,79805.0,0
559,Hepatitis D Symptoms Spread all over Evansville,Evansville,Evansville,37.974759999999996,-87.55585,US,119943.0,0
560,New medicine wipes out Herpes in Bossier City,Bossier City,Bossier City,32.51599,-93.73212,US,68094.0,0
561,Pneumonia Exposure in San Jose,San Jose,San Jose,37.33939,-121.89496000000001,US,1026908.0,0
562,Authorities are Worried about the Spread of Mad Cow Disease in Edinburgh,Edinburgh,Edinburgh,55.952059999999996,-3.1964799999999998,GB,464990.0,2
563,Duluth Patient in Critical Condition after Contracting Rotavirus,Duluth,Duluth,46.78327,-92.10658000000001,US,86110.0,0
565,Norfolk tests new cure for Herpes,Norfolk,Norfolk,36.84681,-76.28522,US,246393.0,0
566,More Zika patients reported in Botucatu,Botucatu,Botucatu,-22.88583,-48.445,BR,113862.0,0
567,Manassas Encounters Severe Symptoms of Measles,Manassas,Manassas,38.75095,-77.47527,US,41764.0,0
568,Fayetteville authorities confirmed the spread of HIV,Fayetteville,Fayetteville,35.052659999999996,-78.87836,US,201963.0,0
569,Varicella Exposure in Cambridge,Cambridge,Cambridge,52.2,0.11667000000000001,GB,158434.0,2
570,Hepatitis A Vaccine is now Required in Fukushima,Fukushima,Fukushima,37.75,140.46667,JP,294237.0,1
571,Zika Outbreak in South Miami,Miami,Miami,25.77427,-80.19366,US,441003.0,0
572,Hepatitis D Symptoms Spread all over North Bethesda,North Bethesda,North Bethesda,39.04455,-77.11887,US,43828.0,0
573,Panama City's first Zika related death,Panama City,Panama City,30.15946,-85.65983,US,38286.0,0
574,West Nile Virus has Arrived in Dongguan,Dongguan,Dongguan,23.017970000000002,113.74866000000002,CN,8000000.0,1
575,Zika arrives in Belmopan,Belmopan,Belmopan,17.25,-88.76666999999999,BZ,13381.0,0
576,Zika seminars in Yuma County,Yuma,Yuma,32.72532,-114.6244,US,94139.0,0
577,Rumors about Hepatitis E Spreading in Morristown have been Refuted,Morristown,Morristown,36.21398,-83.29489000000001,US,29478.0,0
578,Mumps Outbreak in Joplin,Joplin,Joplin,37.08423,-94.51328000000001,US,51818.0,0
580,Authorities are Worried about the Spread of Mumps in Corona,Corona,Corona,33.87529,-117.56643999999999,US,164226.0,0
581,Schools in Danville Closed Due to Tuberculosis Outbreak,Danville,Danville,37.82159,-121.99996000000002,US,44400.0,0
583,Marquette tests new cure for Hepatitis A,Marquette,Marquette,46.54354,-87.39542,US,21297.0,0
584,Norovirus Vaccine is now Required in Anaheim,Anaheim,Anaheim,33.83529,-117.9145,US,350742.0,0
585,Zika Outbreak in Manaus,Manaus,Manaus,-3.1019400000000004,-60.025,BR,1598210.0,0
586,Zika spreads to Caucasia,Caucasia,Caucasia,7.98654,-75.19349,CO,58034.0,0
587,Case of Malaria Reported in Aurora,Aurora,Aurora,39.72943,-104.83192,US,359407.0,0
588,Manchester Residents Recieve Influenza vaccine,Manchester,Manchester,53.48095,-2.23743,GB,395515.0,2
589,Zika spreads to Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,16.483439999999998,99.52153,TH,58787.0,1
590,Rotavirus Vaccine is now Required in Labasa,Labasa,Labasa,-16.4332,179.36451,FJ,27949.0,1
591,The Spread of Hepatitis E in Fargo has been Confirmed,Fargo,Fargo,46.87719,-96.7898,US,118523.0,0
592,Zika Outbreak in Mexicali,Mexicali,Mexicali,32.62781,-115.45446000000001,MX,689775.0,0
593,West Nile Virus Keeps Spreading in Hauppauge,Hauppauge,Hauppauge,40.82565,-73.20260999999999,US,20882.0,0
594,Bronchitis Keeps Spreading in Hayward,Hayward,Hayward,37.668820000000004,-122.0808,US,158289.0,0
597,Zika spreads to Plant City,Plant City,Plant City,28.01888,-82.11469,US,37406.0,0
598,Chlamydia Exposure in Sanaa,Sanaa,Sanaa,15.35472,44.20667,YE,1937451.0,2
599,Zika Reported in North Miami Beach,North Miami Beach,North Miami Beach,25.93315,-80.16255,US,43971.0,0
600,More Patients in Kensington are Getting Diagnosed with Varicella,Kensington,Kensington,40.646209999999996,-73.97069,US,39120.0,0
602,Case of West Nile Virus Reported in Riverside,Riverside,Riverside,33.95335,-117.39616000000001,US,322424.0,0
603,Northfield Encounters Severe Symptoms of Herpes,Northfield,Northfield,44.4583,-93.1616,US,20380.0,0
604,The Spread of Respiratory Syncytial Virus in Monroe has been Confirmed,Monroe,Monroe,32.50931,-92.1193,US,49598.0,0
605,How to Avoid Hepatitis B in Trenton,Trenton,Trenton,40.21705,-74.74294,US,84225.0,0
606,Zika Reported in Ilopango,Ilopango,Ilopango,13.701670000000002,-89.10944,SV,38890.0,0
607,Barstow Patient in Critical Condition after Contracting Herpes,Barstow,Barstow,34.898590000000006,-117.02282,US,23692.0,0
608,Hepatitis D Exposure in Aswan,Aswan,Aswan,24.09082,32.89942,EG,241261.0,2
609,Will Gonorrhea vaccine help East Moline?,East Moline,East Moline,41.50087,-90.4443,US,21350.0,0
610,New medicine wipes out Influenza in Redlands,Redlands,Redlands,34.05557,-117.18253999999999,US,71035.0,0
611,How to Avoid Contaminated Meat when Visiting Basel,Basel,Basel,47.55839,7.57327,CH,164488.0,2
612,More Zika patients reported in Kampong Speu,Kampong Speu,Kampong Speu,11.45332,104.52085,KH,33231.0,1
613,Alameda Residents Recieve Rabies vaccine,Alameda,Alameda,37.770990000000005,-122.26087,US,78630.0,0
614,Mad Cow Disease Detected in Lyon,Lyon,Lyon,45.748459999999994,4.84671,FR,472317.0,2
615,Memphis Encounters Severe Symptoms of Swine Flu,Memphis,Memphis,35.14953,-90.04898,US,655770.0,0
616,Zika Troubles come to Delray Beach,Delray Beach,Delray Beach,26.46146,-80.07282,US,66255.0,0
617,How to Avoid Chikungunya in Hampton,Hampton,Hampton,37.02987,-76.34522,US,136454.0,0
618,Zika Reported in Sao Jose,Sao Jose,São José,-28.211709999999997,-49.1632,BR,200000.0,0
619,Case of Norovirus Reported in Stratford,Stratford,Stratford,41.184540000000005,-73.13316999999999,US,51384.0,0
620,How to Avoid Hepatitis E in South Bend,South Bend,South Bend,41.68338,-86.25001,US,101516.0,0
621,Hepatitis C Outbreak in Bethlehem,Bethlehem,Bethlehem,-28.23078,28.30707,ZA,83654.0,2
622,Davenport is infested with Dengue,Davenport,Davenport,41.52364,-90.57764,US,102582.0,0
623,Rumors about Swine Flu spreading in Suzhou have been refuted,Suzhou,Suzhou,31.30408,120.59538,CN,5345961.0,1
624,Malaria Vaccine is now Required in Elyria,Elyria,Elyria,41.36838,-82.10765,US,53775.0,0
626,Case of Swine Flu Reported in Tbilisi,Tbilisi,Tbilisi,41.694109999999995,44.83368,GE,1049498.0,2
629,Influenza Keeps Spreading in Suffolk,Suffolk,Suffolk,36.728359999999995,-76.58496,US,88161.0,0
630,More people in Allentown are infected with Chlamydia every year,Allentown,Allentown,40.60843,-75.49018000000001,US,120207.0,0
631,Mad Cow Disease re-emerges in Bedford,Bedford,Bedford,52.13459,-0.46631999999999996,GB,106940.0,2
632,Authorities are Worried about the Spread of Hepatitis B in Yiwu,Yiwu,Yiwu,29.31506,120.07676000000001,CN,89629.0,1
633,Zika Outbreak in Yurimaguas,Yurimaguas,Yurimaguas,-5.90181,-76.12234000000001,PE,41827.0,0
634,Dengue Outbreak in Easton,Easton,Easton,40.68843,-75.22073,US,26915.0,0
635,Varicella has Arrived in Milton,Milton,Milton,43.51681,-79.88294,CA,101715.0,0
636,New medicine wipes out Meningitis in Sevilla,Sevilla,Sevilla,37.38283,-5.97317,ES,703206.0,2
637,Authorities are Worried about the Spread of Varicella in Clovis,Clovis,Clovis,36.82523,-119.70291999999999,US,104180.0,0
638,More Zika patients reported in Fort Worth,Fort Worth,Fort Worth,32.72541,-97.32085,US,833319.0,0
639,Zika symptoms spotted in Boynton Beach,Boynton Beach,Boynton Beach,26.52535,-80.06643000000001,US,73966.0,0
640,Outbreak of Zika in Portoviejo,Portoviejo,Portoviejo,-1.0545799999999999,-80.45445,EC,170326.0,0
641,Influenza Exposure in Muscat,Muscat,Muscat,23.58413,58.40778,OM,797000.0,2
642,Rumors about Rabies spreading in Jerusalem have been refuted,Jerusalem,Jerusalem,31.769040000000004,35.21633,IL,801000.0,2
643,More Zika patients reported in Indang,Indang,Indang,14.195279999999999,120.87693999999999,PH,41159.0,1
644,Suva authorities confirmed the spread of Rotavirus,Suva,Suva,-18.14161,178.44149,FJ,77366.0,1
645,More Zika patients reported in Bella Vista,Bella Vista,Bella Vista,18.455389999999998,-69.9454,DO,175683.0,0
646,Zika Outbreak in Wichita Falls,Wichita Falls,Wichita Falls,33.913709999999995,-98.49339,US,104710.0,0
